id,name,area,country,major,men,women,ine,comunidad,comarca
0,Ababuj,54.3,Spain,"LOPEZ BENDICTO, JOSE CARLOS",49,36,44001,Aragón,Comunidad de Teruel
1,Abanto,63.8,Spain,"SEBASTIAN PEIRO, Mª ANGELES",86,72,50001,Aragón,Comunidad de Calatayud
2,Abejuela,86.7,Spain,"CERVERA BARTUAL, VICENTE",32,27,44002,Aragón,Gúdar-Javalambre
3,Abiego,38.2,Spain,"MONCLUS PUENTE, FELIPE",143,141,22001,Aragón,Somontano de Barbastro
4,Abizanda,44.8,Spain,"BUESA ABADIAS, JOSÉ",62,70,22002,Aragón,Sobrarbe
5,Acered,30.4,Spain,"SICILIA GARCIA, CONRADO",129,116,50002,Aragón,Campo de Daroca
6,Adahuesca,52.5,Spain,"FRANCO GISTAU, FRANCISCO",79,76,22003,Aragón,Somontano de Barbastro
7,Aguarón,36.6,Spain,"CUCALON BERNAL, LUCIO",376,375,50004,Aragón,Campo de Cariñena
8,Aguatón,21.6,Spain,JUAN RAMON MIGUEL CARDO MUÑOZ,11,15,44003,Aragón,Comunidad de Teruel
9,Aguaviva,42.2,Spain,RAFAEL CERVERA MARGELI,338,337,44004,Aragón,Bajo Aragón
10,Aguilar del Alfambra,39.0,Spain,VICENTE SAN FRANCISCO PARICIO,43,39,44005,Aragón,Comunidad de Teruel
11,Aguilón,59.5,Spain,"HERRANDO OLIVAN, ANDRES",143,150,50005,Aragón,Campo de Cariñena
12,Agón,18.5,Spain,"YOLDI MARTINEZ, JUAN CARLOS",105,92,50003,Aragón,Campo de Borja
13,Agüero,94.2,Spain,"CASTILLO PEREZ, ANTONIO",91,83,22004,Aragón,Hoya de Huesca/Plana de Uesca
14,Ainzón,40.5,Spain,FRANCISCO JAVIER CORELLA MERLE,635,576,50006,Aragón,Campo de Borja
15,Alacón,47.5,Spain,"ALQUEZAR ALQUEZAR, ISMAEL DOMINGO",212,210,44006,Aragón,Andorra-Sierra de Arcos
16,Aladrén,21.1,Spain,"TORRES GARCIA, MIGUEL",44,32,50007,Aragón,Campo de Cariñena
17,Alagón,24.2,Spain,"BECERRIL GUTIERREZ, JOSE MARIA",2973,2934,50008,Aragón,Ribera Alta del Ebro
18,Alarba,19.0,Spain,"MORALES SOLER, FRANCISCO",82,63,50009,Aragón,Comunidad de Calatayud
19,Alba,69.5,Spain,"HERRERO PALOMAR, JOSÉ",127,123,44007,Aragón,Comunidad de Teruel
20,Albalate de Cinca,44.2,Spain,"CASTILLON SERRATE, JOSE ANTONIO",725,561,22007,Aragón,Cinca Medio
21,Albalate del Arzobispo,205.7,Spain,"DEL RIO MACIPE, ANTONIO",1107,1094,44008,Aragón,Bajo Martín
22,Albalatillo,9.1,Spain,"CASAÑA LUNA,JOSÉ ANDRÉS",122,121,22008,Aragón,Los Monegros
23,Albarracín,452.7,Spain,"MARTI SORIANO, FRANCISCO JESUS",533,512,44009,Aragón,Sierra de Albarracín
24,Albelda,51.9,Spain,"ROCA LLOP, MARIA ANGELES",460,451,22009,Aragón,La Litera/La Llitera
25,Albentosa,68.0,Spain,"SALVADOR CORELLA, YOLANDA",167,144,44010,Aragón,Gúdar-Javalambre
26,Alberite de San Juan,11.2,Spain,"GIMENO LETE, ROBERTO",59,42,50010,Aragón,Campo de Borja
27,Albero Alto,19.3,Spain,"FERRANDO ORUS, RAMON LORENZO",59,49,22011,Aragón,Hoya de Huesca/Plana de Uesca
28,Albero Bajo,22.2,Spain,"LOPEZ CIRIA, JAVIER MIGUEL",54,43,22012,Aragón,Los Monegros
29,Alberuela de Tubo,20.8,Spain,"PONS SERENA, ROSA MARIA",185,176,22013,Aragón,Los Monegros
