municipio_id,stat_date,type_establecimiento,count,seats
2,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,25
3,"Sat, 01 Jan 2011 00:00:00",Hotel,1,27
3,"Sat, 01 Jan 2011 00:00:00",TurismoRural,7,60
4,"Sat, 01 Jan 2011 00:00:00",Camping,1,555
4,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,20
6,"Sat, 01 Jan 2011 00:00:00",TurismoRural,4,28
6,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,12
7,"Sat, 01 Jan 2011 00:00:00",Hotel,2,8
7,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,11
9,"Sat, 01 Jan 2011 00:00:00",Hotel,1,46
13,"Sat, 01 Jan 2011 00:00:00",Hotel,1,20
13,"Sat, 01 Jan 2011 00:00:00",Camping,1,120
13,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
13,"Sat, 01 Jan 2011 00:00:00",Apartamento,2,45
16,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,4
17,"Sat, 01 Jan 2011 00:00:00",Hotel,5,105
19,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,10
20,"Sat, 01 Jan 2011 00:00:00",Hotel,1,24
23,"Sat, 01 Jan 2011 00:00:00",Hotel,22,640
23,"Sat, 01 Jan 2011 00:00:00",Camping,1,306
23,"Sat, 01 Jan 2011 00:00:00",Apartamento,4,31
25,"Sat, 01 Jan 2011 00:00:00",Hotel,2,84
25,"Sat, 01 Jan 2011 00:00:00",TurismoRural,5,32
29,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,10
30,"Sat, 01 Jan 2011 00:00:00",Hotel,2,91
31,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,12
32,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,19
34,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
35,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,30
36,"Sat, 01 Jan 2011 00:00:00",Hotel,6,212
36,"Sat, 01 Jan 2011 00:00:00",Camping,1,232
36,"Sat, 01 Jan 2011 00:00:00",TurismoRural,4,32
36,"Sat, 01 Jan 2011 00:00:00",Apartamento,3,42
38,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
39,"Sat, 01 Jan 2011 00:00:00",Hotel,6,484
39,"Sat, 01 Jan 2011 00:00:00",Camping,1,400
39,"Sat, 01 Jan 2011 00:00:00",TurismoRural,4,41
40,"Sat, 01 Jan 2011 00:00:00",Hotel,2,41
42,"Sat, 01 Jan 2011 00:00:00",Hotel,5,97
43,"Sat, 01 Jan 2011 00:00:00",Camping,1,153
43,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,4
45,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
46,"Sat, 01 Jan 2011 00:00:00",Hotel,6,160
47,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,38
51,"Sat, 01 Jan 2011 00:00:00",Hotel,7,651
52,"Sat, 01 Jan 2011 00:00:00",Hotel,1,18
52,"Sat, 01 Jan 2011 00:00:00",Camping,2,200
52,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,14
53,"Sat, 01 Jan 2011 00:00:00",Hotel,4,91
54,"Sat, 01 Jan 2011 00:00:00",Hotel,1,8
54,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,9
56,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
58,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
59,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
60,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,24
61,"Sat, 01 Jan 2011 00:00:00",Hotel,2,25
62,"Sat, 01 Jan 2011 00:00:00",Hotel,5,198
64,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
68,"Sat, 01 Jan 2011 00:00:00",Hotel,4,161
68,"Sat, 01 Jan 2011 00:00:00",Camping,2,620
68,"Sat, 01 Jan 2011 00:00:00",TurismoRural,19,132
68,"Sat, 01 Jan 2011 00:00:00",Apartamento,5,76
72,"Sat, 01 Jan 2011 00:00:00",Hotel,5,224
73,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,18
74,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,11
75,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,14
76,"Sat, 01 Jan 2011 00:00:00",Hotel,2,52
76,"Sat, 01 Jan 2011 00:00:00",Camping,2,496
76,"Sat, 01 Jan 2011 00:00:00",TurismoRural,11,91
78,"Sat, 01 Jan 2011 00:00:00",Hotel,1,20
78,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,7
79,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,12
79,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,16
80,"Sat, 01 Jan 2011 00:00:00",Hotel,1,40
81,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
82,"Sat, 01 Jan 2011 00:00:00",Hotel,1,14
82,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,12
84,"Sat, 01 Jan 2011 00:00:00",Hotel,1,7
85,"Sat, 01 Jan 2011 00:00:00",Hotel,1,9
85,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,17
85,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,13
86,"Sat, 01 Jan 2011 00:00:00",Hotel,2,56
87,"Sat, 01 Jan 2011 00:00:00",Hotel,1,17
88,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,27
90,"Sat, 01 Jan 2011 00:00:00",Hotel,4,74
90,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,23
90,"Sat, 01 Jan 2011 00:00:00",Apartamento,2,52
