municipio_id,stat_date,kg,containers_count
0,"Sun, 01 Jan 2012 00:00:00",2579,1
0,"Wed, 01 Jan 2003 00:00:00",1900,1
0,"Tue, 01 Jan 2002 00:00:00",1600,1
0,"Mon, 01 Jan 2001 00:00:00",2380,1
0,"Sat, 01 Jan 2000 00:00:00",1200,1
0,"Fri, 01 Jan 1999 00:00:00",1200,1
0,"Thu, 01 Jan 1998 00:00:00",0,0
0,"Wed, 01 Jan 1997 00:00:00",0,0
0,"Sat, 01 Jan 2011 00:00:00",2560,1
0,"Fri, 01 Jan 2010 00:00:00",4300,1
0,"Thu, 01 Jan 2009 00:00:00",2300,1
0,"Tue, 01 Jan 2008 00:00:00",2300,1
0,"Mon, 01 Jan 2007 00:00:00",1980,1
0,"Sun, 01 Jan 2006 00:00:00",2780,1
0,"Sat, 01 Jan 2005 00:00:00",1400,1
0,"Thu, 01 Jan 2004 00:00:00",1600,1
1,"Sun, 01 Jan 2012 00:00:00",4022,1
1,"Wed, 01 Jan 2003 00:00:00",960,1
1,"Tue, 01 Jan 2002 00:00:00",1200,1
1,"Mon, 01 Jan 2001 00:00:00",500,1
1,"Sat, 01 Jan 2000 00:00:00",1100,1
1,"Fri, 01 Jan 1999 00:00:00",400,1
1,"Thu, 01 Jan 1998 00:00:00",0,0
1,"Wed, 01 Jan 1997 00:00:00",0,0
1,"Sat, 01 Jan 2011 00:00:00",1870,1
1,"Fri, 01 Jan 2010 00:00:00",4700,1
1,"Thu, 01 Jan 2009 00:00:00",1300,1
1,"Tue, 01 Jan 2008 00:00:00",1800,1
1,"Mon, 01 Jan 2007 00:00:00",1400,1
1,"Sun, 01 Jan 2006 00:00:00",1400,1
1,"Sat, 01 Jan 2005 00:00:00",1280,1
1,"Thu, 01 Jan 2004 00:00:00",1200,1
2,"Sun, 01 Jan 2012 00:00:00",3713,1
2,"Wed, 01 Jan 2003 00:00:00",2500,1
2,"Tue, 01 Jan 2002 00:00:00",1230,1
2,"Mon, 01 Jan 2001 00:00:00",940,1
2,"Sat, 01 Jan 2000 00:00:00",1170,1
2,"Fri, 01 Jan 1999 00:00:00",1120,1
2,"Thu, 01 Jan 1998 00:00:00",1600,1
2,"Wed, 01 Jan 1997 00:00:00",1110,1
2,"Sat, 01 Jan 2011 00:00:00",2680,1
2,"Fri, 01 Jan 2010 00:00:00",3500,1
2,"Thu, 01 Jan 2009 00:00:00",800,1
2,"Tue, 01 Jan 2008 00:00:00",1800,1
2,"Mon, 01 Jan 2007 00:00:00",2500,1
2,"Sun, 01 Jan 2006 00:00:00",2500,1
2,"Sat, 01 Jan 2005 00:00:00",2000,1
2,"Thu, 01 Jan 2004 00:00:00",1800,1
3,"Sun, 01 Jan 2012 00:00:00",8054,1
3,"Wed, 01 Jan 2003 00:00:00",2800,2
3,"Tue, 01 Jan 2002 00:00:00",2700,2
3,"Mon, 01 Jan 2001 00:00:00",3700,2
3,"Sat, 01 Jan 2000 00:00:00",3700,2
3,"Fri, 01 Jan 1999 00:00:00",1800,2
3,"Thu, 01 Jan 1998 00:00:00",0,0
3,"Wed, 01 Jan 1997 00:00:00",0,0
3,"Sat, 01 Jan 2011 00:00:00",7390,1
3,"Fri, 01 Jan 2010 00:00:00",8500,1
3,"Thu, 01 Jan 2009 00:00:00",3900,1
3,"Tue, 01 Jan 2008 00:00:00",7800,2
3,"Mon, 01 Jan 2007 00:00:00",6100,2
3,"Sun, 01 Jan 2006 00:00:00",4400,2
3,"Sat, 01 Jan 2005 00:00:00",4240,2
3,"Thu, 01 Jan 2004 00:00:00",2600,2
4,"Sun, 01 Jan 2012 00:00:00",0,6
4,"Wed, 01 Jan 2003 00:00:00",4290,1
4,"Tue, 01 Jan 2002 00:00:00",3290,2
4,"Mon, 01 Jan 2001 00:00:00",2640,1
4,"Sat, 01 Jan 2000 00:00:00",2080,2
4,"Fri, 01 Jan 1999 00:00:00",680,1
4,"Thu, 01 Jan 1998 00:00:00",600,1
4,"Wed, 01 Jan 1997 00:00:00",0,0
4,"Sat, 01 Jan 2011 00:00:00",0,6
4,"Fri, 01 Jan 2010 00:00:00",17721,6
4,"Thu, 01 Jan 2009 00:00:00",8296,4
4,"Tue, 01 Jan 2008 00:00:00",4930,1
4,"Mon, 01 Jan 2007 00:00:00",5200,1
4,"Sun, 01 Jan 2006 00:00:00",4680,2
4,"Sat, 01 Jan 2005 00:00:00",3890,2
4,"Thu, 01 Jan 2004 00:00:00",4030,1
5,"Sun, 01 Jan 2012 00:00:00",4671,1
5,"Wed, 01 Jan 2003 00:00:00",1200,1
5,"Tue, 01 Jan 2002 00:00:00",1300,1
5,"Mon, 01 Jan 2001 00:00:00",800,1
5,"Sat, 01 Jan 2000 00:00:00",1900,1
5,"Fri, 01 Jan 1999 00:00:00",1600,1
5,"Thu, 01 Jan 1998 00:00:00",1500,1
5,"Wed, 01 Jan 1997 00:00:00",700,1
5,"Sat, 01 Jan 2011 00:00:00",3650,1
5,"Fri, 01 Jan 2010 00:00:00",5000,1
5,"Thu, 01 Jan 2009 00:00:00",2600,1
5,"Tue, 01 Jan 2008 00:00:00",1600,1
5,"Mon, 01 Jan 2007 00:00:00",800,1
5,"Sun, 01 Jan 2006 00:00:00",720,1
5,"Sat, 01 Jan 2005 00:00:00",2100,1
5,"Thu, 01 Jan 2004 00:00:00",1920,1
6,"Sun, 01 Jan 2012 00:00:00",6643,2
6,"Wed, 01 Jan 2003 00:00:00",2900,1
6,"Tue, 01 Jan 2002 00:00:00",1600,1
6,"Mon, 01 Jan 2001 00:00:00",2960,1
6,"Sat, 01 Jan 2000 00:00:00",1600,1
6,"Fri, 01 Jan 1999 00:00:00",1500,1
6,"Thu, 01 Jan 1998 00:00:00",0,0
6,"Wed, 01 Jan 1997 00:00:00",0,0
6,"Sat, 01 Jan 2011 00:00:00",5410,2
6,"Fri, 01 Jan 2010 00:00:00",9440,2
6,"Thu, 01 Jan 2009 00:00:00",4800,2
6,"Tue, 01 Jan 2008 00:00:00",6800,1
6,"Mon, 01 Jan 2007 00:00:00",5500,2
6,"Sun, 01 Jan 2006 00:00:00",3480,1
6,"Sat, 01 Jan 2005 00:00:00",2800,1
6,"Thu, 01 Jan 2004 00:00:00",2800,1
7,"Sun, 01 Jan 2012 00:00:00",17617,3
7,"Wed, 01 Jan 2003 00:00:00",7440,2
7,"Tue, 01 Jan 2002 00:00:00",7310,2
7,"Mon, 01 Jan 2001 00:00:00",7510,2
7,"Sat, 01 Jan 2000 00:00:00",6700,2
7,"Fri, 01 Jan 1999 00:00:00",9180,2
7,"Thu, 01 Jan 1998 00:00:00",7080,2
7,"Wed, 01 Jan 1997 00:00:00",4000,1
7,"Sat, 01 Jan 2011 00:00:00",15730,3
7,"Fri, 01 Jan 2010 00:00:00",19550,3
7,"Thu, 01 Jan 2009 00:00:00",13300,3
7,"Tue, 01 Jan 2008 00:00:00",15460,2
7,"Mon, 01 Jan 2007 00:00:00",12800,2
7,"Sun, 01 Jan 2006 00:00:00",10340,2
7,"Sat, 01 Jan 2005 00:00:00",7400,3
7,"Thu, 01 Jan 2004 00:00:00",7100,2
8,"Sun, 01 Jan 2012 00:00:00",1174,1
8,"Wed, 01 Jan 2003 00:00:00",600,1
8,"Tue, 01 Jan 2002 00:00:00",0,1
8,"Mon, 01 Jan 2001 00:00:00",800,1
8,"Fri, 01 Jan 1999 00:00:00",0,1
8,"Thu, 01 Jan 1998 00:00:00",0,0
8,"Wed, 01 Jan 1997 00:00:00",0,0
8,"Sat, 01 Jan 2011 00:00:00",870,1
8,"Fri, 01 Jan 2010 00:00:00",2400,1
8,"Thu, 01 Jan 2009 00:00:00",800,1
8,"Tue, 01 Jan 2008 00:00:00",300,1
8,"Mon, 01 Jan 2007 00:00:00",300,1
8,"Sun, 01 Jan 2006 00:00:00",1100,1
8,"Sat, 01 Jan 2005 00:00:00",0,1
8,"Thu, 01 Jan 2004 00:00:00",0,1
9,"Sun, 01 Jan 2012 00:00:00",15086,5
9,"Wed, 01 Jan 2003 00:00:00",11500,5
9,"Tue, 01 Jan 2002 00:00:00",6530,5
9,"Mon, 01 Jan 2001 00:00:00",7700,3
9,"Sat, 01 Jan 2000 00:00:00",4200,3
9,"Fri, 01 Jan 1999 00:00:00",4980,3
9,"Thu, 01 Jan 1998 00:00:00",5080,2
9,"Wed, 01 Jan 1997 00:00:00",4800,2
9,"Sat, 01 Jan 2011 00:00:00",14830,5
9,"Fri, 01 Jan 2010 00:00:00",15820,5
9,"Thu, 01 Jan 2009 00:00:00",20900,5
9,"Tue, 01 Jan 2008 00:00:00",18400,5
9,"Mon, 01 Jan 2007 00:00:00",22340,5
9,"Sun, 01 Jan 2006 00:00:00",16000,5
9,"Sat, 01 Jan 2005 00:00:00",17180,5
9,"Thu, 01 Jan 2004 00:00:00",13900,5
10,"Sun, 01 Jan 2012 00:00:00",1400,1
10,"Wed, 01 Jan 2003 00:00:00",800,1
10,"Tue, 01 Jan 2002 00:00:00",400,1
10,"Mon, 01 Jan 2001 00:00:00",1470,1
10,"Fri, 01 Jan 1999 00:00:00",800,1
10,"Thu, 01 Jan 1998 00:00:00",0,0
10,"Wed, 01 Jan 1997 00:00:00",0,0
10,"Sat, 01 Jan 2011 00:00:00",1430,1
10,"Fri, 01 Jan 2010 00:00:00",3100,1
10,"Thu, 01 Jan 2009 00:00:00",1300,1
10,"Tue, 01 Jan 2008 00:00:00",600,1
10,"Mon, 01 Jan 2007 00:00:00",1200,1
10,"Sun, 01 Jan 2006 00:00:00",800,1
10,"Sat, 01 Jan 2005 00:00:00",320,1
10,"Thu, 01 Jan 2004 00:00:00",700,1
11,"Sun, 01 Jan 2012 00:00:00",6208,2
11,"Wed, 01 Jan 2003 00:00:00",2800,1
11,"Tue, 01 Jan 2002 00:00:00",2800,1
11,"Mon, 01 Jan 2001 00:00:00",2950,1
11,"Sat, 01 Jan 2000 00:00:00",3260,1
11,"Fri, 01 Jan 1999 00:00:00",3300,1
11,"Thu, 01 Jan 1998 00:00:00",3500,1
11,"Wed, 01 Jan 1997 00:00:00",0,0
11,"Sat, 01 Jan 2011 00:00:00",5970,3
11,"Fri, 01 Jan 2010 00:00:00",7000,2
11,"Thu, 01 Jan 2009 00:00:00",3500,2
11,"Tue, 01 Jan 2008 00:00:00",2200,1
11,"Mon, 01 Jan 2007 00:00:00",3800,2
11,"Sun, 01 Jan 2006 00:00:00",2600,1
11,"Sat, 01 Jan 2005 00:00:00",2200,2
11,"Thu, 01 Jan 2004 00:00:00",2400,1
12,"Sun, 01 Jan 2012 00:00:00",5293,1
12,"Wed, 01 Jan 2003 00:00:00",2400,1
12,"Tue, 01 Jan 2002 00:00:00",1300,1
12,"Mon, 01 Jan 2001 00:00:00",1800,1
12,"Sat, 01 Jan 2000 00:00:00",1200,1
12,"Fri, 01 Jan 1999 00:00:00",800,1
12,"Thu, 01 Jan 1998 00:00:00",7300,1
12,"Wed, 01 Jan 1997 00:00:00",800,1
12,"Sat, 01 Jan 2011 00:00:00",4100,1
12,"Fri, 01 Jan 2010 00:00:00",7000,1
12,"Thu, 01 Jan 2009 00:00:00",3460,1
12,"Tue, 01 Jan 2008 00:00:00",3120,1
12,"Mon, 01 Jan 2007 00:00:00",3400,1
12,"Sun, 01 Jan 2006 00:00:00",4220,1
12,"Sat, 01 Jan 2005 00:00:00",4560,1
12,"Thu, 01 Jan 2004 00:00:00",2700,1
13,"Sun, 01 Jan 2012 00:00:00",5409,3
13,"Wed, 01 Jan 2003 00:00:00",2850,2
13,"Tue, 01 Jan 2002 00:00:00",3000,2
13,"Mon, 01 Jan 2001 00:00:00",2800,2
13,"Sat, 01 Jan 2000 00:00:00",800,2
13,"Fri, 01 Jan 1999 00:00:00",1600,2
13,"Thu, 01 Jan 1998 00:00:00",0,0
13,"Wed, 01 Jan 1997 00:00:00",0,0
13,"Sat, 01 Jan 2011 00:00:00",5090,3
13,"Fri, 01 Jan 2010 00:00:00",5820,3
13,"Thu, 01 Jan 2009 00:00:00",5400,3
13,"Tue, 01 Jan 2008 00:00:00",6500,3
13,"Mon, 01 Jan 2007 00:00:00",6200,3
13,"Sun, 01 Jan 2006 00:00:00",5300,3
13,"Sat, 01 Jan 2005 00:00:00",2000,3
13,"Thu, 01 Jan 2004 00:00:00",2400,3
14,"Sun, 01 Jan 2012 00:00:00",28384,6
14,"Wed, 01 Jan 2003 00:00:00",24940,6
14,"Tue, 01 Jan 2002 00:00:00",16760,6
14,"Mon, 01 Jan 2001 00:00:00",10640,6
14,"Sat, 01 Jan 2000 00:00:00",11660,6
14,"Fri, 01 Jan 1999 00:00:00",16920,5
14,"Thu, 01 Jan 1998 00:00:00",14100,4
14,"Wed, 01 Jan 1997 00:00:00",13500,4
14,"Sat, 01 Jan 2011 00:00:00",28200,6
14,"Fri, 01 Jan 2010 00:00:00",28140,6
14,"Thu, 01 Jan 2009 00:00:00",30300,6
